date,exchange_rate
2009-12-31,0
2010-12-31,0.3
2011-12-31,4.47
2012-12-31,13.57
2013-12-31,732
2014-12-31,313.4
2015-12-31,428.23
2016-12-31,958.12
2017-12-31,13796
2018-12-31,3770.36
2019-12-31,7219.6
2020-12-31,28856.59
2021-12-31,46249.56
2022-12-31,16599.69
